行列头两行不会被读取,,,,,,,,,,,,,,,,,,,
,,"物品id
",,,,,"0：普通物品
1: 装备
2: 晶石 
3: 礼包","

","0:白 1:绿 2:蓝 3:紫 4:橙
5:红",,永久物品填-1,时限开始时间,公式生成时间戳，策划不用填,0否1是,货币类型，参照Token.xlsx,,,-1：无效果 0: 掉落物品 ,-1：无需填 0: 掉落id ,,,,此列由前3列自动生成，不用填写
,,54,卡牌种类5突破道具5,卡牌第5次突破道具,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,55,卡牌种类5突破道具6,卡牌第6次突破道具,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,56,卡牌种类5突破道具7,卡牌第7次突破道具,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,60,卡牌种类6突破道具1,卡牌第1次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,61,卡牌种类6突破道具2,卡牌第2次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,62,卡牌种类6突破道具3,卡牌第3次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,63,卡牌种类6突破道具4,卡牌第4次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,64,卡牌种类6突破道具5,卡牌第5次突破道具,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,65,卡牌种类6突破道具6,卡牌第6次突破道具,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,66,卡牌种类6突破道具7,卡牌第7次突破道具,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,70,卡牌种类7突破道具1,卡牌第1次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,71,卡牌种类7突破道具2,卡牌第2次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,72,卡牌种类7突破道具3,卡牌第3次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,73,卡牌种类7突破道具4,卡牌第4次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,74,卡牌种类7突破道具5,卡牌第5次突破道具,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,75,卡牌种类7突破道具6,卡牌第6次突破道具,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,76,卡牌种类7突破道具7,卡牌第7次突破道具,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,80,卡牌种类8突破道具1,卡牌第1次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,81,卡牌种类8突破道具2,卡牌第2次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,82,卡牌种类8突破道具3,卡牌第3次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,83,卡牌种类8突破道具4,卡牌第4次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,84,卡牌种类8突破道具5,卡牌第5次突破道具,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,85,卡牌种类8突破道具6,卡牌第6次突破道具,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,86,卡牌种类8突破道具7,卡牌第7次突破道具,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,90,卡牌种类9突破道具1,卡牌第1次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,91,卡牌种类9突破道具2,卡牌第2次突破道具,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,92,卡牌种类9突破道具3,卡牌第3次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,93,卡牌种类9突破道具4,卡牌第4次突破道具,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,94,卡牌种类9突破道具5,卡牌第5次突破道具,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,95,卡牌种类9突破道具6,卡牌第6次突破道具,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,96,卡牌种类9突破道具7,卡牌第7次突破道具,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,150,卡牌通用突破道具1,卡牌通用突破道具1,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,151,卡牌通用突破道具2,卡牌通用突破道具2,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,152,卡牌通用突破道具3,卡牌通用突破道具3,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,200,卡牌种类1技能升级道具1,卡牌种类1技能升级道具1,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,201,卡牌种类1技能升级道具2,卡牌种类1技能升级道具2,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,202,卡牌种类1技能升级道具3,卡牌种类1技能升级道具3,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,203,卡牌种类1技能升级道具4,卡牌种类1技能升级道具4,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,204,卡牌种类1技能升级道具5,卡牌种类1技能升级道具5,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,205,卡牌种类2技能升级道具1,卡牌种类1技能升级道具1,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,206,卡牌种类2技能升级道具2,卡牌种类1技能升级道具2,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,207,卡牌种类2技能升级道具3,卡牌种类1技能升级道具3,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,208,卡牌种类2技能升级道具4,卡牌种类1技能升级道具4,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,209,卡牌种类2技能升级道具5,卡牌种类1技能升级道具5,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,210,卡牌种类3技能升级道具1,卡牌种类1技能升级道具1,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,211,卡牌种类3技能升级道具2,卡牌种类1技能升级道具2,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,212,卡牌种类3技能升级道具3,卡牌种类1技能升级道具3,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,213,卡牌种类3技能升级道具4,卡牌种类1技能升级道具4,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,214,卡牌种类3技能升级道具5,卡牌种类1技能升级道具5,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,250,卡牌通用技能道具1,卡牌通用技能道具1,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,251,卡牌通用技能道具2,卡牌通用技能道具2,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,252,卡牌通用技能道具3,卡牌通用技能道具3,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,400,装备经验道具1,装备经验道具1,icon_1,关卡,0,1,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,500,0,0,"500,0,0"
,,401,装备经验道具2,装备经验道具2,icon_1,关卡,0,1,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,2500,0,0,"2500,0,0"
,,402,装备经验道具3,装备经验道具3,icon_1,关卡,0,1,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,10000,0,0,"10000,0,0"
,,403,装备经验道具4,装备经验道具4,icon_1,关卡,0,1,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,50000,0,0,"50000,0,0"
,,404,装备经验道具5,装备经验道具5,icon_1,关卡,0,1,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,200000,0,0,"200000,0,0"
,,410,装备单手剑突破道具1,装备单手剑突破道具1,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,411,装备单手剑突破道具2,装备单手剑突破道具2,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,412,装备单手剑突破道具3,装备单手剑突破道具3,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,413,装备单手剑突破道具4,装备单手剑突破道具4,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,414,装备单手剑突破道具5,装备单手剑突破道具5,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,415,装备单手剑突破道具6,装备单手剑突破道具6,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,416,装备单手剑突破道具7,装备单手剑突破道具7,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,420,装备双手剑突破道具1,装备双手剑突破道具1,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,421,装备双手剑突破道具2,装备双手剑突破道具2,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,422,装备双手剑突破道具3,装备双手剑突破道具3,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,423,装备双手剑突破道具4,装备双手剑突破道具4,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,424,装备双手剑突破道具5,装备双手剑突破道具5,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,425,装备双手剑突破道具6,装备双手剑突破道具6,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,426,装备双手剑突破道具7,装备双手剑突破道具7,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,430,装备长柄突破道具1,装备长柄突破道具1,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,431,装备长柄突破道具2,装备长柄突破道具2,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,432,装备长柄突破道具3,装备长柄突破道具3,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,433,装备长柄突破道具4,装备长柄突破道具4,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,434,装备长柄突破道具5,装备长柄突破道具5,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,435,装备长柄突破道具6,装备长柄突破道具6,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,436,装备长柄突破道具7,装备长柄突破道具7,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,440,装备弓弩突破道具1,装备弓弩突破道具1,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,441,装备弓弩突破道具2,装备弓弩突破道具2,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,442,装备弓弩突破道具3,装备弓弩突破道具3,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,443,装备弓弩突破道具4,装备弓弩突破道具4,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,444,装备弓弩突破道具5,装备弓弩突破道具5,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,445,装备弓弩突破道具6,装备弓弩突破道具6,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,446,装备弓弩突破道具7,装备弓弩突破道具7,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,450,装备法杖突破道具1,装备法杖突破道具1,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,451,装备法杖突破道具2,装备法杖突破道具2,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,452,装备法杖突破道具3,装备法杖突破道具3,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,453,装备法杖突破道具4,装备法杖突破道具4,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,454,装备法杖突破道具5,装备法杖突破道具5,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,455,装备法杖突破道具6,装备法杖突破道具6,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,456,装备法杖突破道具7,装备法杖突破道具7,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,460,装备召唤物突破道具1,装备召唤物突破道具1,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,461,装备召唤物突破道具2,装备召唤物突破道具2,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,462,装备召唤物突破道具3,装备召唤物突破道具3,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,463,装备召唤物突破道具4,装备召唤物突破道具4,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,464,装备召唤物突破道具5,装备召唤物突破道具5,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,465,装备召唤物突破道具6,装备召唤物突破道具6,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,466,装备召唤物突破道具7,装备召唤物突破道具7,icon_1,关卡,0,0,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,590,装备通用突破道具1,装备通用突破道具1,icon_1,关卡,0,0,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,591,装备通用突破道具2,装备通用突破道具2,icon_1,关卡,0,0,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,592,装备通用突破道具3,装备通用突破道具3,icon_1,关卡,0,0,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,0,0,0,"0,0,0"
,,600,晶石升级经验道具1,晶石升级经验道具1,icon_1,关卡,0,2,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,500,0,0,"500,0,0"
,,601,晶石升级经验道具2,晶石升级经验道具2,icon_1,关卡,0,2,1,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,2500,0,0,"2500,0,0"
,,602,晶石升级经验道具3,晶石升级经验道具3,icon_1,关卡,0,2,2,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,10000,0,0,"10000,0,0"
,,603,晶石升级经验道具4,晶石升级经验道具4,icon_1,关卡,0,2,3,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,50000,0,0,"50000,0,0"
,,604,晶石升级经验道具5,晶石升级经验道具5,icon_1,关卡,0,2,4,9999,-1,1/1/70 07:59,0,1,0,0,-1,-1,-1,200000,0,0,"200000,0,0"
,,610,体力药水1,体力药水1,icon_1,关卡,0,0,0,9999,-1,1/1/70 07:59,0,1,0,0,-1,0,8000,0,0,0,"0,0,0"
