行列头两行不会被读取,,,
,,与item物品表id对应,0-4，共5个
残响-地4星，4号位,,3108,3
残响-地4星，4号位,,3109,3
残响-地4星，4号位,,3110,3
残响-地4星，4号位,,3111,3
残响-地4星，4号位,,3112,3
残响-地4星，4号位,,3113,3
残响-地4星，5号位,,3114,4
残响-地4星，5号位,,3115,4
残响-地4星，5号位,,3116,4
残响-地4星，5号位,,3117,4
残响-地4星，5号位,,3118,4
残响-地4星，5号位,,3119,4
残响-地5星，1号位,,3120,0
残响-地5星，1号位,,3121,0
残响-地5星，1号位,,3122,0
残响-地5星，1号位,,3123,0
残响-地5星，1号位,,3124,0
残响-地5星，1号位,,3125,0
残响-地5星，2号位,,3126,1
残响-地5星，2号位,,3127,1
残响-地5星，2号位,,3128,1
残响-地5星，2号位,,3129,1
残响-地5星，2号位,,3130,1
残响-地5星，2号位,,3131,1
残响-地5星，3号位,,3132,2
残响-地5星，3号位,,3133,2
残响-地5星，3号位,,3134,2
残响-地5星，3号位,,3135,2
残响-地5星，3号位,,3136,2
残响-地5星，3号位,,3137,2
残响-地5星，4号位,,3138,3
残响-地5星，4号位,,3139,3
残响-地5星，4号位,,3140,3
残响-地5星，4号位,,3141,3
残响-地5星，4号位,,3142,3
残响-地5星，4号位,,3143,3
残响-地5星，5号位,,3144,4
残响-地5星，5号位,,3145,4
残响-地5星，5号位,,3146,4
残响-地5星，5号位,,3147,4
残响-地5星，5号位,,3148,4
残响-地5星，5号位,,3149,4
残响-地6星，1号位,,3150,0
残响-地6星，1号位,,3151,0
残响-地6星，1号位,,3152,0
残响-地6星，1号位,,3153,0
残响-地6星，1号位,,3154,0
残响-地6星，1号位,,3155,0
残响-地6星，2号位,,3156,1
残响-地6星，2号位,,3157,1
残响-地6星，2号位,,3158,1
残响-地6星，2号位,,3159,1
残响-地6星，2号位,,3160,1
残响-地6星，2号位,,3161,1
残响-地6星，3号位,,3162,2
残响-地6星，3号位,,3163,2
残响-地6星，3号位,,3164,2
残响-地6星，3号位,,3165,2
残响-地6星，3号位,,3166,2
残响-地6星，3号位,,3167,2
残响-地6星，4号位,,3168,3
残响-地6星，4号位,,3169,3
残响-地6星，4号位,,3170,3
残响-地6星，4号位,,3171,3
残响-地6星，4号位,,3172,3
残响-地6星，4号位,,3173,3
残响-地6星，5号位,,3174,4
残响-地6星，5号位,,3175,4
残响-地6星，5号位,,3176,4
残响-地6星，5号位,,3177,4
残响-地6星，5号位,,3178,4
残响-地6星，5号位,,3179,4
残响-水1星，1号位,,3180,0
残响-水1星，1号位,,3181,0
残响-水1星，1号位,,3182,0
残响-水1星，1号位,,3183,0
残响-水1星，1号位,,3184,0
残响-水1星，1号位,,3185,0
残响-水1星，2号位,,3186,1
残响-水1星，2号位,,3187,1
残响-水1星，2号位,,3188,1
残响-水1星，2号位,,3189,1
残响-水1星，2号位,,3190,1
残响-水1星，2号位,,3191,1
残响-水1星，3号位,,3192,2
残响-水1星，3号位,,3193,2
残响-水1星，3号位,,3194,2
残响-水1星，3号位,,3195,2
残响-水1星，3号位,,3196,2
残响-水1星，3号位,,3197,2
残响-水1星，4号位,,3198,3
残响-水1星，4号位,,3199,3
残响-水1星，4号位,,3200,3
残响-水1星，4号位,,3201,3
残响-水1星，4号位,,3202,3
残响-水1星，4号位,,3203,3
残响-水1星，5号位,,3204,4
残响-水1星，5号位,,3205,4
残响-水1星，5号位,,3206,4
残响-水1星，5号位,,3207,4
残响-水1星，5号位,,3208,4
残响-水1星，5号位,,3209,4
残响-水2星，1号位,,3210,0
残响-水2星，1号位,,3211,0
残响-水2星，1号位,,3212,0
残响-水2星，1号位,,3213,0
残响-水2星，1号位,,3214,0
残响-水2星，1号位,,3215,0
残响-水2星，2号位,,3216,1
残响-水2星，2号位,,3217,1
残响-水2星，2号位,,3218,1
残响-水2星，2号位,,3219,1
残响-水2星，2号位,,3220,1
残响-水2星，2号位,,3221,1
残响-水2星，3号位,,3222,2
残响-水2星，3号位,,3223,2
残响-水2星，3号位,,3224,2
残响-水2星，3号位,,3225,2
残响-水2星，3号位,,3226,2
残响-水2星，3号位,,3227,2
残响-水2星，4号位,,3228,3
残响-水2星，4号位,,3229,3
残响-水2星，4号位,,3230,3
残响-水2星，4号位,,3231,3
残响-水2星，4号位,,3232,3
残响-水2星，4号位,,3233,3
残响-水2星，5号位,,3234,4
残响-水2星，5号位,,3235,4
残响-水2星，5号位,,3236,4
残响-水2星，5号位,,3237,4
残响-水2星，5号位,,3238,4
残响-水2星，5号位,,3239,4
残响-水3星，1号位,,3240,0
残响-水3星，1号位,,3241,0
残响-水3星，1号位,,3242,0
残响-水3星，1号位,,3243,0
残响-水3星，1号位,,3244,0
残响-水3星，1号位,,3245,0
残响-水3星，2号位,,3246,1
残响-水3星，2号位,,3247,1
残响-水3星，2号位,,3248,1
残响-水3星，2号位,,3249,1
残响-水3星，2号位,,3250,1
残响-水3星，2号位,,3251,1
残响-水3星，3号位,,3252,2
残响-水3星，3号位,,3253,2
残响-水3星，3号位,,3254,2
残响-水3星，3号位,,3255,2
残响-水3星，3号位,,3256,2
残响-水3星，3号位,,3257,2
残响-水3星，4号位,,3258,3
残响-水3星，4号位,,3259,3
残响-水3星，4号位,,3260,3
残响-水3星，4号位,,3261,3
残响-水3星，4号位,,3262,3
残响-水3星，4号位,,3263,3
残响-水3星，5号位,,3264,4
残响-水3星，5号位,,3265,4
残响-水3星，5号位,,3266,4
残响-水3星，5号位,,3267,4
残响-水3星，5号位,,3268,4
残响-水3星，5号位,,3269,4
残响-水4星，1号位,,3270,0
残响-水4星，1号位,,3271,0
残响-水4星，1号位,,3272,0
残响-水4星，1号位,,3273,0
残响-水4星，1号位,,3274,0
残响-水4星，1号位,,3275,0
残响-水4星，2号位,,3276,1
残响-水4星，2号位,,3277,1
残响-水4星，2号位,,3278,1
残响-水4星，2号位,,3279,1
残响-水4星，2号位,,3280,1
残响-水4星，2号位,,3281,1
残响-水4星，3号位,,3282,2
残响-水4星，3号位,,3283,2
残响-水4星，3号位,,3284,2
残响-水4星，3号位,,3285,2
残响-水4星，3号位,,3286,2
残响-水4星，3号位,,3287,2
残响-水4星，4号位,,3288,3
残响-水4星，4号位,,3289,3
残响-水4星，4号位,,3290,3
残响-水4星，4号位,,3291,3
残响-水4星，4号位,,3292,3
残响-水4星，4号位,,3293,3
残响-水4星，5号位,,3294,4
残响-水4星，5号位,,3295,4
残响-水4星，5号位,,3296,4
残响-水4星，5号位,,3297,4
残响-水4星，5号位,,3298,4
残响-水4星，5号位,,3299,4
残响-水5星，1号位,,3300,0
残响-水5星，1号位,,3301,0
残响-水5星，1号位,,3302,0
残响-水5星，1号位,,3303,0
残响-水5星，1号位,,3304,0
残响-水5星，1号位,,3305,0
残响-水5星，2号位,,3306,1
残响-水5星，2号位,,3307,1
残响-水5星，2号位,,3308,1
残响-水5星，2号位,,3309,1
残响-水5星，2号位,,3310,1
残响-水5星，2号位,,3311,1
残响-水5星，3号位,,3312,2
残响-水5星，3号位,,3313,2
残响-水5星，3号位,,3314,2
残响-水5星，3号位,,3315,2
残响-水5星，3号位,,3316,2
残响-水5星，3号位,,3317,2
残响-水5星，4号位,,3318,3
残响-水5星，4号位,,3319,3
残响-水5星，4号位,,3320,3
残响-水5星，4号位,,3321,3
残响-水5星，4号位,,3322,3
残响-水5星，4号位,,3323,3
残响-水5星，5号位,,3324,4
残响-水5星，5号位,,3325,4
残响-水5星，5号位,,3326,4
残响-水5星，5号位,,3327,4
残响-水5星，5号位,,3328,4
残响-水5星，5号位,,3329,4
残响-水6星，1号位,,3330,0
残响-水6星，1号位,,3331,0
残响-水6星，1号位,,3332,0
残响-水6星，1号位,,3333,0
残响-水6星，1号位,,3334,0
残响-水6星，1号位,,3335,0
残响-水6星，2号位,,3336,1
残响-水6星，2号位,,3337,1
残响-水6星，2号位,,3338,1
残响-水6星，2号位,,3339,1
残响-水6星，2号位,,3340,1
残响-水6星，2号位,,3341,1
残响-水6星，3号位,,3342,2
残响-水6星，3号位,,3343,2
残响-水6星，3号位,,3344,2
残响-水6星，3号位,,3345,2
残响-水6星，3号位,,3346,2
残响-水6星，3号位,,3347,2
残响-水6星，4号位,,3348,3
残响-水6星，4号位,,3349,3
残响-水6星，4号位,,3350,3
残响-水6星，4号位,,3351,3
残响-水6星，4号位,,3352,3
残响-水6星，4号位,,3353,3
残响-水6星，5号位,,3354,4
残响-水6星，5号位,,3355,4
残响-水6星，5号位,,3356,4
残响-水6星，5号位,,3357,4
残响-水6星，5号位,,3358,4
残响-水6星，5号位,,3359,4
残响-火1星，1号位,,3360,0
残响-火1星，1号位,,3361,0
残响-火1星，1号位,,3362,0
残响-火1星，1号位,,3363,0
残响-火1星，1号位,,3364,0
残响-火1星，1号位,,3365,0
残响-火1星，2号位,,3366,1
残响-火1星，2号位,,3367,1
残响-火1星，2号位,,3368,1
残响-火1星，2号位,,3369,1
残响-火1星，2号位,,3370,1
残响-火1星，2号位,,3371,1
残响-火1星，3号位,,3372,2
残响-火1星，3号位,,3373,2
残响-火1星，3号位,,3374,2
残响-火1星，3号位,,3375,2
残响-火1星，3号位,,3376,2
残响-火1星，3号位,,3377,2
残响-火1星，4号位,,3378,3
残响-火1星，4号位,,3379,3
残响-火1星，4号位,,3380,3
残响-火1星，4号位,,3381,3
残响-火1星，4号位,,3382,3
残响-火1星，4号位,,3383,3
残响-火1星，5号位,,3384,4
残响-火1星，5号位,,3385,4
残响-火1星，5号位,,3386,4
残响-火1星，5号位,,3387,4
残响-火1星，5号位,,3388,4
残响-火1星，5号位,,3389,4
残响-火2星，1号位,,3390,0
残响-火2星，1号位,,3391,0
残响-火2星，1号位,,3392,0
残响-火2星，1号位,,3393,0
残响-火2星，1号位,,3394,0
残响-火2星，1号位,,3395,0
残响-火2星，2号位,,3396,1
残响-火2星，2号位,,3397,1
残响-火2星，2号位,,3398,1
残响-火2星，2号位,,3399,1
残响-火2星，2号位,,3400,1
残响-火2星，2号位,,3401,1
残响-火2星，3号位,,3402,2
残响-火2星，3号位,,3403,2
残响-火2星，3号位,,3404,2
残响-火2星，3号位,,3405,2
残响-火2星，3号位,,3406,2
残响-火2星，3号位,,3407,2
残响-火2星，4号位,,3408,3
残响-火2星，4号位,,3409,3
残响-火2星，4号位,,3410,3
残响-火2星，4号位,,3411,3
残响-火2星，4号位,,3412,3
残响-火2星，4号位,,3413,3
残响-火2星，5号位,,3414,4
残响-火2星，5号位,,3415,4
残响-火2星，5号位,,3416,4
残响-火2星，5号位,,3417,4
残响-火2星，5号位,,3418,4
残响-火2星，5号位,,3419,4
残响-火3星，1号位,,3420,0
残响-火3星，1号位,,3421,0
残响-火3星，1号位,,3422,0
残响-火3星，1号位,,3423,0
残响-火3星，1号位,,3424,0
残响-火3星，1号位,,3425,0
残响-火3星，2号位,,3426,1
残响-火3星，2号位,,3427,1
残响-火3星，2号位,,3428,1
残响-火3星，2号位,,3429,1
残响-火3星，2号位,,3430,1
残响-火3星，2号位,,3431,1
残响-火3星，3号位,,3432,2
残响-火3星，3号位,,3433,2
残响-火3星，3号位,,3434,2
残响-火3星，3号位,,3435,2
残响-火3星，3号位,,3436,2
残响-火3星，3号位,,3437,2
残响-火3星，4号位,,3438,3
残响-火3星，4号位,,3439,3
残响-火3星，4号位,,3440,3
残响-火3星，4号位,,3441,3
残响-火3星，4号位,,3442,3
残响-火3星，4号位,,3443,3
残响-火3星，5号位,,3444,4
残响-火3星，5号位,,3445,4
残响-火3星，5号位,,3446,4
残响-火3星，5号位,,3447,4
残响-火3星，5号位,,3448,4
残响-火3星，5号位,,3449,4
残响-火4星，1号位,,3450,0
残响-火4星，1号位,,3451,0
残响-火4星，1号位,,3452,0
残响-火4星，1号位,,3453,0
残响-火4星，1号位,,3454,0
残响-火4星，1号位,,3455,0
残响-火4星，2号位,,3456,1
残响-火4星，2号位,,3457,1
残响-火4星，2号位,,3458,1
残响-火4星，2号位,,3459,1
残响-火4星，2号位,,3460,1
残响-火4星，2号位,,3461,1
残响-火4星，3号位,,3462,2
残响-火4星，3号位,,3463,2
残响-火4星，3号位,,3464,2
残响-火4星，3号位,,3465,2
残响-火4星，3号位,,3466,2
残响-火4星，3号位,,3467,2
残响-火4星，4号位,,3468,3
残响-火4星，4号位,,3469,3
残响-火4星，4号位,,3470,3
残响-火4星，4号位,,3471,3
残响-火4星，4号位,,3472,3
残响-火4星，4号位,,3473,3
残响-火4星，5号位,,3474,4
残响-火4星，5号位,,3475,4
残响-火4星，5号位,,3476,4
残响-火4星，5号位,,3477,4
残响-火4星，5号位,,3478,4
残响-火4星，5号位,,3479,4
残响-火5星，1号位,,3480,0
残响-火5星，1号位,,3481,0
残响-火5星，1号位,,3482,0
残响-火5星，1号位,,3483,0
残响-火5星，1号位,,3484,0
残响-火5星，1号位,,3485,0
残响-火5星，2号位,,3486,1
残响-火5星，2号位,,3487,1
残响-火5星，2号位,,3488,1
残响-火5星，2号位,,3489,1
残响-火5星，2号位,,3490,1
残响-火5星，2号位,,3491,1
残响-火5星，3号位,,3492,2
残响-火5星，3号位,,3493,2
残响-火5星，3号位,,3494,2
残响-火5星，3号位,,3495,2
残响-火5星，3号位,,3496,2
残响-火5星，3号位,,3497,2
残响-火5星，4号位,,3498,3
残响-火5星，4号位,,3499,3
残响-火5星，4号位,,3500,3
残响-火5星，4号位,,3501,3
残响-火5星，4号位,,3502,3
残响-火5星，4号位,,3503,3
残响-火5星，5号位,,3504,4
残响-火5星，5号位,,3505,4
残响-火5星，5号位,,3506,4
残响-火5星，5号位,,3507,4
残响-火5星，5号位,,3508,4
残响-火5星，5号位,,3509,4
残响-火6星，1号位,,3510,0
残响-火6星，1号位,,3511,0
残响-火6星，1号位,,3512,0
残响-火6星，1号位,,3513,0
残响-火6星，1号位,,3514,0
残响-火6星，1号位,,3515,0
残响-火6星，2号位,,3516,1
残响-火6星，2号位,,3517,1
残响-火6星，2号位,,3518,1
残响-火6星，2号位,,3519,1
残响-火6星，2号位,,3520,1
残响-火6星，2号位,,3521,1
残响-火6星，3号位,,3522,2
残响-火6星，3号位,,3523,2
残响-火6星，3号位,,3524,2
残响-火6星，3号位,,3525,2
残响-火6星，3号位,,3526,2
残响-火6星，3号位,,3527,2
残响-火6星，4号位,,3528,3
残响-火6星，4号位,,3529,3
残响-火6星，4号位,,3530,3
残响-火6星，4号位,,3531,3
残响-火6星，4号位,,3532,3
残响-火6星，4号位,,3533,3
残响-火6星，5号位,,3534,4
残响-火6星，5号位,,3535,4
残响-火6星，5号位,,3536,4
残响-火6星，5号位,,3537,4
残响-火6星，5号位,,3538,4
残响-火6星，5号位,,3539,4
残响-风1星，1号位,,3540,0
残响-风1星，1号位,,3541,0
残响-风1星，1号位,,3542,0
残响-风1星，1号位,,3543,0
残响-风1星，1号位,,3544,0
残响-风1星，1号位,,3545,0
残响-风1星，2号位,,3546,1
残响-风1星，2号位,,3547,1
残响-风1星，2号位,,3548,1
残响-风1星，2号位,,3549,1
残响-风1星，2号位,,3550,1
残响-风1星，2号位,,3551,1
残响-风1星，3号位,,3552,2
残响-风1星，3号位,,3553,2
残响-风1星，3号位,,3554,2
残响-风1星，3号位,,3555,2
残响-风1星，3号位,,3556,2
残响-风1星，3号位,,3557,2
残响-风1星，4号位,,3558,3
残响-风1星，4号位,,3559,3
残响-风1星，4号位,,3560,3
残响-风1星，4号位,,3561,3
残响-风1星，4号位,,3562,3
残响-风1星，4号位,,3563,3
残响-风1星，5号位,,3564,4
残响-风1星，5号位,,3565,4
残响-风1星，5号位,,3566,4
残响-风1星，5号位,,3567,4
残响-风1星，5号位,,3568,4
残响-风1星，5号位,,3569,4
残响-风2星，1号位,,3570,0
残响-风2星，1号位,,3571,0
残响-风2星，1号位,,3572,0
残响-风2星，1号位,,3573,0
残响-风2星，1号位,,3574,0
残响-风2星，1号位,,3575,0
残响-风2星，2号位,,3576,1
残响-风2星，2号位,,3577,1
残响-风2星，2号位,,3578,1
残响-风2星，2号位,,3579,1
残响-风2星，2号位,,3580,1
残响-风2星，2号位,,3581,1
残响-风2星，3号位,,3582,2
残响-风2星，3号位,,3583,2
残响-风2星，3号位,,3584,2
残响-风2星，3号位,,3585,2
残响-风2星，3号位,,3586,2
残响-风2星，3号位,,3587,2
残响-风2星，4号位,,3588,3
残响-风2星，4号位,,3589,3
残响-风2星，4号位,,3590,3
残响-风2星，4号位,,3591,3
残响-风2星，4号位,,3592,3
残响-风2星，4号位,,3593,3
残响-风2星，5号位,,3594,4
残响-风2星，5号位,,3595,4
残响-风2星，5号位,,3596,4
残响-风2星，5号位,,3597,4
残响-风2星，5号位,,3598,4
残响-风2星，5号位,,3599,4
残响-风3星，1号位,,3600,0
残响-风3星，1号位,,3601,0
残响-风3星，1号位,,3602,0
残响-风3星，1号位,,3603,0
残响-风3星，1号位,,3604,0
残响-风3星，1号位,,3605,0
残响-风3星，2号位,,3606,1
残响-风3星，2号位,,3607,1
残响-风3星，2号位,,3608,1
残响-风3星，2号位,,3609,1
残响-风3星，2号位,,3610,1
残响-风3星，2号位,,3611,1
残响-风3星，3号位,,3612,2
残响-风3星，3号位,,3613,2
残响-风3星，3号位,,3614,2
残响-风3星，3号位,,3615,2
残响-风3星，3号位,,3616,2
残响-风3星，3号位,,3617,2
残响-风3星，4号位,,3618,3
残响-风3星，4号位,,3619,3
残响-风3星，4号位,,3620,3
残响-风3星，4号位,,3621,3
残响-风3星，4号位,,3622,3
残响-风3星，4号位,,3623,3
残响-风3星，5号位,,3624,4
残响-风3星，5号位,,3625,4
残响-风3星，5号位,,3626,4
残响-风3星，5号位,,3627,4
残响-风3星，5号位,,3628,4
残响-风3星，5号位,,3629,4
残响-风4星，1号位,,3630,0
残响-风4星，1号位,,3631,0
残响-风4星，1号位,,3632,0
残响-风4星，1号位,,3633,0
残响-风4星，1号位,,3634,0
残响-风4星，1号位,,3635,0
残响-风4星，2号位,,3636,1
残响-风4星，2号位,,3637,1
残响-风4星，2号位,,3638,1
残响-风4星，2号位,,3639,1
残响-风4星，2号位,,3640,1
残响-风4星，2号位,,3641,1
残响-风4星，3号位,,3642,2
残响-风4星，3号位,,3643,2
残响-风4星，3号位,,3644,2
残响-风4星，3号位,,3645,2
残响-风4星，3号位,,3646,2
残响-风4星，3号位,,3647,2
残响-风4星，4号位,,3648,3
残响-风4星，4号位,,3649,3
残响-风4星，4号位,,3650,3
残响-风4星，4号位,,3651,3
残响-风4星，4号位,,3652,3
残响-风4星，4号位,,3653,3
残响-风4星，5号位,,3654,4
残响-风4星，5号位,,3655,4
残响-风4星，5号位,,3656,4
残响-风4星，5号位,,3657,4
残响-风4星，5号位,,3658,4
残响-风4星，5号位,,3659,4
残响-风5星，1号位,,3660,0
残响-风5星，1号位,,3661,0
残响-风5星，1号位,,3662,0
残响-风5星，1号位,,3663,0
残响-风5星，1号位,,3664,0
残响-风5星，1号位,,3665,0
残响-风5星，2号位,,3666,1
残响-风5星，2号位,,3667,1
残响-风5星，2号位,,3668,1
残响-风5星，2号位,,3669,1
残响-风5星，2号位,,3670,1
残响-风5星，2号位,,3671,1
残响-风5星，3号位,,3672,2
残响-风5星，3号位,,3673,2
残响-风5星，3号位,,3674,2
残响-风5星，3号位,,3675,2
残响-风5星，3号位,,3676,2
残响-风5星，3号位,,3677,2
残响-风5星，4号位,,3678,3
残响-风5星，4号位,,3679,3
残响-风5星，4号位,,3680,3
残响-风5星，4号位,,3681,3
残响-风5星，4号位,,3682,3
残响-风5星，4号位,,3683,3
残响-风5星，5号位,,3684,4
残响-风5星，5号位,,3685,4
残响-风5星，5号位,,3686,4
残响-风5星，5号位,,3687,4
残响-风5星，5号位,,3688,4
残响-风5星，5号位,,3689,4
残响-风6星，1号位,,3690,0
残响-风6星，1号位,,3691,0
残响-风6星，1号位,,3692,0
残响-风6星，1号位,,3693,0
残响-风6星，1号位,,3694,0
残响-风6星，1号位,,3695,0
残响-风6星，2号位,,3696,1
残响-风6星，2号位,,3697,1
残响-风6星，2号位,,3698,1
残响-风6星，2号位,,3699,1
残响-风6星，2号位,,3700,1
残响-风6星，2号位,,3701,1
残响-风6星，3号位,,3702,2
残响-风6星，3号位,,3703,2
残响-风6星，3号位,,3704,2
残响-风6星，3号位,,3705,2
残响-风6星，3号位,,3706,2
残响-风6星，3号位,,3707,2
残响-风6星，4号位,,3708,3
残响-风6星，4号位,,3709,3
残响-风6星，4号位,,3710,3
残响-风6星，4号位,,3711,3
残响-风6星，4号位,,3712,3
残响-风6星，4号位,,3713,3
残响-风6星，5号位,,3714,4
残响-风6星，5号位,,3715,4
残响-风6星，5号位,,3716,4
残响-风6星，5号位,,3717,4
残响-风6星，5号位,,3718,4
残响-风6星，5号位,,3719,4
残响-雷1星，1号位,,3720,0
残响-雷1星，1号位,,3721,0
残响-雷1星，1号位,,3722,0
残响-雷1星，1号位,,3723,0
残响-雷1星，1号位,,3724,0
残响-雷1星，1号位,,3725,0
残响-雷1星，2号位,,3726,1
残响-雷1星，2号位,,3727,1
残响-雷1星，2号位,,3728,1
残响-雷1星，2号位,,3729,1
残响-雷1星，2号位,,3730,1
残响-雷1星，2号位,,3731,1
残响-雷1星，3号位,,3732,2
残响-雷1星，3号位,,3733,2
残响-雷1星，3号位,,3734,2
残响-雷1星，3号位,,3735,2
残响-雷1星，3号位,,3736,2
残响-雷1星，3号位,,3737,2
残响-雷1星，4号位,,3738,3
残响-雷1星，4号位,,3739,3
残响-雷1星，4号位,,3740,3
残响-雷1星，4号位,,3741,3
残响-雷1星，4号位,,3742,3
残响-雷1星，4号位,,3743,3
残响-雷1星，5号位,,3744,4
残响-雷1星，5号位,,3745,4
残响-雷1星，5号位,,3746,4
残响-雷1星，5号位,,3747,4
残响-雷1星，5号位,,3748,4
残响-雷1星，5号位,,3749,4
残响-雷2星，1号位,,3750,0
残响-雷2星，1号位,,3751,0
残响-雷2星，1号位,,3752,0
残响-雷2星，1号位,,3753,0
残响-雷2星，1号位,,3754,0
残响-雷2星，1号位,,3755,0
残响-雷2星，2号位,,3756,1
残响-雷2星，2号位,,3757,1
残响-雷2星，2号位,,3758,1
残响-雷2星，2号位,,3759,1
残响-雷2星，2号位,,3760,1
残响-雷2星，2号位,,3761,1
残响-雷2星，3号位,,3762,2
残响-雷2星，3号位,,3763,2
残响-雷2星，3号位,,3764,2
残响-雷2星，3号位,,3765,2
残响-雷2星，3号位,,3766,2
残响-雷2星，3号位,,3767,2
残响-雷2星，4号位,,3768,3
残响-雷2星，4号位,,3769,3
残响-雷2星，4号位,,3770,3
残响-雷2星，4号位,,3771,3
残响-雷2星，4号位,,3772,3
残响-雷2星，4号位,,3773,3
残响-雷2星，5号位,,3774,4
残响-雷2星，5号位,,3775,4
残响-雷2星，5号位,,3776,4
残响-雷2星，5号位,,3777,4
残响-雷2星，5号位,,3778,4
残响-雷2星，5号位,,3779,4
残响-雷3星，1号位,,3780,0
残响-雷3星，1号位,,3781,0
残响-雷3星，1号位,,3782,0
残响-雷3星，1号位,,3783,0
残响-雷3星，1号位,,3784,0
残响-雷3星，1号位,,3785,0
残响-雷3星，2号位,,3786,1
残响-雷3星，2号位,,3787,1
残响-雷3星，2号位,,3788,1
残响-雷3星，2号位,,3789,1
残响-雷3星，2号位,,3790,1
残响-雷3星，2号位,,3791,1
残响-雷3星，3号位,,3792,2
残响-雷3星，3号位,,3793,2
残响-雷3星，3号位,,3794,2
残响-雷3星，3号位,,3795,2
残响-雷3星，3号位,,3796,2
残响-雷3星，3号位,,3797,2
残响-雷3星，4号位,,3798,3
残响-雷3星，4号位,,3799,3
残响-雷3星，4号位,,3800,3
残响-雷3星，4号位,,3801,3
残响-雷3星，4号位,,3802,3
残响-雷3星，4号位,,3803,3
残响-雷3星，5号位,,3804,4
残响-雷3星，5号位,,3805,4
残响-雷3星，5号位,,3806,4
残响-雷3星，5号位,,3807,4
残响-雷3星，5号位,,3808,4
残响-雷3星，5号位,,3809,4
残响-雷4星，1号位,,3810,0
